tid,admg,tdmg,afrg,tfrg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,273,972,0.54,2.13,-205.82,-177.16,-149.18,-121.71,-93.05,-65.32,-37.6,-9.19,17.35,44.82,71.78,98.58,126.05,153.27,179.81,207.28,234.75,262.23,289.95,318.1,346.34,375,404.17,433.59,463.44,493.88,525.17,556.96,589.52,622.08,655.83,690.51,725.7,761.65,798.28,836.1,873.37,910.8,945.05,974.51,1000.28,1015.89,1027.9,1039.4,1050.56,1061.79,1073.02,1084.32,1095.7,1107.28,1119,1130.88,1142.68,1154.61,1166.84,1179.14,1191.45,1204.1,1216.48,1228.93,1241.36,1253.81,1266.46,1279.33,1291.78,1304.57,1317.46,1330.69,1343.64,1356.7,1370.16,1383.47,1396.79,1410.2,1424.24,1437.69,1451.41,1465.29,1478.44,1491.89,1506.11,1520.26,1534.12,1548.68,1562.83,1577.5,1593.48,1608.67,1625.62,1641.64,1657.53,1674.38,1692.2,1711.49,1731.54,1753.98,1780.64,1808.2,1840.82,1889.34
33,433,962,0.94,2.18,-211.7,-179.43,-148.4,-117.78,-84.07,-50.65,-18.29,15.83,50.27,82.44,117.9,152.33,187.18,221.82,257.4,292.45,328.84,365.64,402.45,438.02,474.62,511.53,548.33,584.73,620.3,658.12,694.63,731.43,768.23,804.01,839.48,874.84,909.48,942.58,974.29,1001.06,1021.8,1040.07,1057.62,1074.63,1092.09,1108.73,1125.45,1142.4,1158.69,1174.79,1190.61,1206.01,1221.51,1237.42,1253.3,1268.96,1284.34,1299.2,1314.71,1330.3,1346.37,1361.14,1376.45,1391.16,1407.27,1423.62,1438.83,1453.39,1469.21,1484.74,1500.11,1515.42,1531.21,1545.86,1560.79,1576.89,1593.46,1610.03,1627.16,1643.84,1659.21,1673.01,1687.44,1702.59,1720.71,1736.46,1750.58,1768.56,1790.49,1808.95,1823.32,1838.66,1849.88,1872,1897.39,1920.73,1947.17,1975.14,2000.69,2026.56,2055.01,2082.92,2137.3,2187.33
49,946,2036,0.81,1.83,187.31,227.24,265.41,301.8,339.32,374.8,408.78,444.74,479.43,512.7,545.17,578.06,609.96,641.96,672.35,703.07,733.04,763.1,792.36,821.8,851.25,879.76,907.93,935.19,961.21,984.29,1004.52,1021.42,1036.81,1051.17,1065.24,1078.95,1092.37,1105.62,1119.08,1132.49,1145.65,1158.64,1171.84,1184.66,1197.04,1209.73,1222.58,1235.32,1248.13,1260.56,1273.16,1285.29,1297.45,1309.84,1322.35,1334.53,1346.91,1359.03,1371.68,1383.59,1395.89,1408.01,1419.97,1431.97,1443.54,1455.49,1467.36,1479.06,1490.45,1503.14,1514.84,1526.58,1538.62,1550.87,1562.05,1573.49,1586.27,1599.12,1611.04,1624.71,1636.75,1648.36,1660.88,1672.74,1685.13,1699.33,1712.87,1726.88,1741.03,1755.83,1771.01,1789.11,1806.23,1826.01,1841.28,1859.47,1877.57,1895.5,1911.54,1943.28,1968.87,1999.32,2023.18,2111.68
81,138,318,1.08,2.53,-569.71,-552.94,-533.65,-514.19,-496.07,-475.44,-454.81,-432.67,-408.35,-386.37,-361.71,-337.06,-311.23,-285.39,-257.21,-228.7,-200.18,-169.32,-138.12,-106.08,-72.2,-35.96,1.11,38.85,80.11,121.38,162.81,205.58,251.71,295.99,343.8,391.44,440.42,487.05,536.03,585.18,635.67,684.65,734.97,785.63,835.95,886.98,935.59,978.03,1013.79,1037.81,1060.34,1082.47,1105.46,1127.87,1150,1172.41,1194.11,1215.23,1236.78,1258.91,1279.45,1299.86,1320.83,1343.53,1363.22,1383.76,1403.88,1422.84,1443.97,1464.08,1483.05,1500.14,1520.98,1539.8,1558.33,1578.88,1599.28,1619.11,1638.94,1659.05,1681.47,1703.3,1723.28,1740.52,1763.65,1779.31,1797.56,1815.23,1830.46,1852.73,1867.53,1889.94,1910.63,1936.21,1959.34,1978.02,2001.87,2018.39,2033.33,2058.91,2079.45,2102.73,2146.12,2188.22
257,393,1017,0.76,2.11,-107.46,-79.16,-51.08,-23.34,4.62,32.16,59.57,87.11,114.52,141.93,169.47,196.88,224.42,252.25,280.12,307.87,335.83,364.24,392.54,420.91,449.45,478.08,507.25,536.54,566.05,595.64,625.48,655.65,686.12,716.5,747.1,777.83,809.08,840.21,871.48,902.45,932.92,961.29,986.34,1007.74,1023.22,1037.1,1050.48,1063.64,1076.76,1089.89,1102.95,1116.27,1129.59,1143,1156.68,1170.35,1183.93,1197.74,1211.51,1225.58,1239.45,1253.32,1267.39,1281.55,1295.58,1310.01,1324.17,1338.24,1352.56,1367.18,1381.61,1395.83,1410.26,1424.32,1438.59,1452.65,1466.68,1480.36,1494.82,1508.98,1522.76,1536.73,1550.76,1564.17,1578.12,1591.92,1606.18,1620.5,1635.77,1650,1664.36,1679.18,1693.07,1707.34,1722.31,1738.84,1754.5,1772.57,1790.14,1809.7,1831.5,1856.61,1889.55,1929.76
273,801,1652,0.90,1.98,78.24,107.89,136.34,165.37,193.56,221.49,248.91,276.22,304.05,332.03,360.17,388.16,416.3,444.96,473.68,502.08,531.52,560.91,590.72,620.94,651.32,681.96,712.34,742.87,772.91,803.11,832.81,862,891.28,919.22,945.74,970.19,992.59,1012.97,1030.96,1047.59,1063.69,1079.11,1094.32,1109.08,1123.72,1137.94,1151.95,1165.82,1179.47,1193.02,1206.36,1219.34,1232.26,1245.21,1257.81,1270.48,1282.95,1295.47,1307.62,1319.72,1331.85,1343.86,1355.87,1367.53,1379.56,1391.23,1402.71,1414.26,1425.63,1436.88,1448.28,1459.56,1470.55,1481.56,1492.61,1503.72,1514.85,1526.34,1537.22,1548.13,1559.15,1570.49,1581.86,1592.32,1603.2,1614.77,1626.42,1637.62,1648.29,1659.64,1671.66,1683.53,1695.99,1708.64,1721.04,1734.14,1747.48,1762.48,1780.18,1796.26,1816.22,1837.15,1863.46,1897.43
289,144,377,0.57,1.71,-399.4,-375.18,-351.88,-324.93,-298.43,-270.56,-241.78,-214.36,-183.75,-152.23,-122.53,-89.64,-57.66,-24.31,8.13,40.57,73.01,107.27,141.08,175.35,210.53,247.08,281.8,317.89,353.53,389.62,427.54,466.83,507.04,545.87,587.45,628.11,668.31,710.8,754.66,799.89,843.75,884.87,928.55,967.56,1000.18,1023.13,1042.45,1061.16,1078.56,1095.82,1113.37,1130.63,1148.35,1166.32,1183.3,1200.7,1219.13,1236.71,1255.42,1273.57,1290.97,1308.23,1326.8,1344.52,1361.47,1379.61,1398.5,1417.21,1435.74,1454.21,1473.67,1493.12,1511.41,1529.13,1547.24,1565.81,1586.01,1604.75,1624.95,1646.56,1664.29,1681.55,1701.32,1719.57,1737.58,1761.98,1779.42,1799.3,1815.25,1835.73,1860.7,1878.28,1897.46,1923.21,1949.98,1973.22,1995.47,2034.1,2067.56,2106.65,2136.92,2186.66,2256.02,2338.93
305,480,1226,0.44,1.22,98.72,134.94,171.88,207.39,245.74,282.91,319.37,354.4,392.28,429.21,465.67,501.66,537.17,574.81,610.09,645.6,681.34,716.62,751.89,785.51,821.26,855.1,889.2,920.69,948.92,974.96,998.6,1019.04,1035.32,1049.26,1063.53,1076.79,1090.3,1103.62,1116.31,1129.13,1142.64,1155.41,1168.53,1181.41,1194.23,1206.92,1219.99,1233.44,1245.88,1258.2,1270.58,1283.46,1296.28,1309.16,1322.48,1336.12,1348.69,1361.7,1374.95,1388.09,1402.22,1415.67,1429.5,1443.13,1456.77,1470.34,1483.98,1497.48,1510.49,1524.51,1537.46,1551.71,1565.29,1580.18,1595.64,1610.47,1625.11,1641.08,1656.09,1672.05,1686.44,1703.91,1718.23,1735.39,1752.29,1768.63,1786.42,1802.75,1818.71,1838.38,1854.28,1876.03,1897.82,1915.29,1938.04,1956.08,1983.23,2007.23,2047.83,2080.88,2094.63,2122.72,2156.46,2223.77
321,200,369,0.83,1.62,-430.2,-393.93,-360.12,-330.2,-295.06,-251.2,-217.49,-178.66,-140.04,-99.87,-66.16,-34.71,2.69,42.75,82.71,122.97,159.24,197.87,234.34,272.97,309.34,346.84,390.59,430.65,471.94,515.69,553.29,594.68,634.54,679.52,716.09,758.41,797.34,839.86,882.38,922.44,959.41,993.82,1026.99,1054.49,1082.35,1109.78,1139.43,1164.16,1188.21,1214.76,1238.3,1264.27,1286.46,1309.85,1333.38,1355.5,1380.27,1400.49,1421.41,1444.29,1468.26,1493.69,1518.39,1541.85,1564,1581.14,1607.07,1628.06,1655.96,1676.88,1702.16,1726.24,1750.32,1766.14,1785.82,1809.25,1833.33,1860.61,1891.02,1914.48,1938.49,1961.99,1978.47,2000.54,2016.52,2032.34,2057.65,2072.24,2099.45,2114.77,2155.87,2166.71,2197.05,2221.24,2247.79,2262.38,2297.88,2332.73,2349.17,2360.48,2424.61,2435.42,2496.27,2615.37
337,175,334,1.02,2.03,-490.1,-463.56,-430.91,-402.33,-375.79,-345.17,-313.54,-285.97,-257.42,-226.8,-195.14,-163.54,-131.86,-101.24,-68.63,-37.96,-5.32,27.33,57.96,89.59,122.27,158.01,194.7,229.44,268.18,303.94,343.72,382.54,421.31,460.13,498.86,535.62,573.37,613.17,653.99,694.84,738.75,779.53,823.44,862.23,900.96,942.83,979.91,1017.31,1047.4,1076.1,1102.7,1131.7,1160.47,1187.37,1211.42,1240.66,1269.9,1296.19,1326.03,1355.27,1378.57,1408.32,1441.11,1460.91,1481.41,1506.3,1535.31,1558.8,1580.84,1605.13,1632.82,1659.35,1682.47,1705.68,1727.63,1751.68,1774.19,1794.6,1816.41,1835.37,1854.15,1874.18,1904.49,1923.83,1961.33,1981.27,2004.25,2024.66,2058.14,2079.11,2094.2,2115.31,2137.96,2157.06,2172.99,2200.45,2223.19,2264.94,2306.56,2364.7,2391.23,2416.68,2478.38,2514.34
353,161,280,0.97,1.79,-515.84,-496.02,-479.66,-460.67,-440.02,-416.73,-387.32,-363.2,-334.79,-307.36,-277.13,-244.42,-209.9,-174.55,-135.73,-98.72,-61.72,-27.03,9.81,51.27,89.93,133.88,176.16,215.81,252.15,294.12,336.57,373.73,416.69,459.8,497.8,534.8,577.76,615.59,654.57,688.93,729.57,764.6,806.89,843.23,881.87,915.58,949.12,984.26,1014.96,1043.55,1073.34,1099.82,1134.36,1165.68,1199.22,1225.46,1255.94,1283.18,1310.23,1337.06,1368.36,1397.24,1425.5,1462.29,1492.37,1520.83,1549.7,1584.26,1628.18,1658.9,1693.43,1722.3,1753.61,1789.99,1820.07,1849.76,1883.51,1913.2,1950.19,1982.5,2024.39,2079.5,2117.49,2141.06,2172.81,2221.79,2245.57,2286.64,2307.77,2334.21,2353.94,2384.84,2421.42,2441.77,2473.89,2563.95,2602.56,2632.66,2741.01,2868.47,2907.31,2915.63,2964.41,3079.29
513,797,1999,0.77,2.15,13.24,45.62,77.38,108.44,139.26,169.92,200.04,229.75,259.4,288.42,317.43,345.82,373.97,401.89,429.26,456.7,483.76,510.9,537.71,564.45,590.96,617.46,643.73,670.16,696.59,722.78,748.82,774.78,800.65,826.07,851.55,876.83,901.97,926.36,949.35,970.23,989.37,1006.23,1019.79,1031.76,1043.13,1054.22,1065.03,1075.86,1086.61,1097.28,1107.93,1118.49,1129.2,1139.95,1150.8,1161.65,1172.6,1183.53,1194.54,1205.59,1216.74,1227.93,1239.18,1250.47,1261.83,1273.26,1284.55,1296,1307.37,1318.91,1330.46,1341.98,1353.71,1365.42,1377.08,1388.81,1400.51,1412.28,1424.4,1435.99,1448.15,1460.11,1472.33,1484.9,1497.69,1509.7,1522.3,1534.6,1547.22,1560.55,1573.63,1586.89,1600.82,1614.81,1629.56,1644.8,1660.9,1678.19,1696.85,1715.61,1737.31,1763.96,1796.26,1835.45
529,844,2013,0.74,1.98,-4.25,33.65,70.97,106.52,140.57,174.35,207.26,239.24,270.63,301.15,331.38,361.3,390.93,420.22,449.01,477.74,506.16,534.31,562.71,590.59,618.16,645.7,673.24,700.5,727.74,754.71,781.69,808.63,835.58,861.96,888.31,914.05,938.66,961.48,982.23,1001.16,1016.68,1030.15,1042.71,1054.99,1066.9,1078.64,1090.37,1102.1,1113.55,1124.92,1136.28,1147.84,1159.29,1170.75,1182.38,1193.84,1205.21,1216.85,1228.4,1239.94,1251.58,1263.04,1274.76,1286.68,1298.14,1309.87,1321.7,1333.51,1345.34,1357.35,1369.08,1381.18,1393.27,1405.19,1417.38,1429.75,1442.03,1454.4,1466.68,1478.78,1491.34,1503.16,1515.99,1528.92,1542.02,1555.31,1569.15,1581.71,1594.99,1609.3,1622.86,1636.15,1650.53,1665.38,1680.32,1696.64,1715.42,1732.66,1748.79,1769.86,1794.07,1823.2,1856.84,1903.4
545,125,360,0.96,3.05,-481.94,-461.94,-438.92,-415.9,-390.24,-364.58,-337.22,-308.54,-278.54,-248.16,-216.46,-181.18,-146.46,-109.1,-70.8,-30.8,9.97,52.99,96.94,140.9,184.69,231.67,278.65,325.07,372.05,421.11,469.79,518.47,568.09,617.15,666.22,715.28,764.51,813.58,862.64,910,955.28,991.32,1015.56,1031.91,1048.26,1063.42,1078.59,1093.73,1108.1,1122.86,1138.01,1152.78,1167.54,1182.3,1197.44,1211.81,1227.35,1242.13,1256.88,1271.65,1286.8,1301.56,1316.71,1331.88,1347.43,1362.58,1377.35,1392.9,1407.27,1422.01,1436.38,1452.72,1466.7,1481.06,1496.22,1511.76,1526.52,1541.69,1556.84,1571.59,1586.75,1601.12,1615.87,1631.84,1647.39,1662.54,1678.5,1693.66,1708.42,1723.19,1739.12,1755.48,1771.84,1787,1803.76,1824.49,1845.23,1867.57,1888.73,1912.64,1937.78,1966.89,1999.21,2047.86
577,119,264,0.86,2,-568.91,-547.9,-526.9,-505.89,-480.03,-450.15,-424.3,-398.44,-372.59,-345.11,-312.01,-279.68,-248.17,-212.62,-176.27,-136.69,-94.68,-49.44,-6.61,39.44,86.3,134.75,181.61,230.1,278.55,328.67,374.72,421.54,467.58,513.67,560.49,606.58,651.77,701.89,748.75,794.8,840.85,887.11,931.32,975.07,1009.23,1033.06,1057.35,1080.4,1103.12,1125.54,1148.26,1170.81,1192.69,1215.79,1236.19,1258.29,1280.05,1303.22,1328.01,1349.94,1373.77,1393.68,1415.61,1438.49,1459.97,1477.18,1497.87,1522.82,1543.35,1566.68,1587.54,1604.75,1625.6,1652.87,1676.38,1695.33,1715.11,1741.09,1767.62,1786.69,1810.24,1824.64,1849.26,1874.67,1893.74,1911.45,1923.99,1947.04,1962.72,1994.54,2011.92,2034.3,2066.91,2092.94,2112.05,2134.15,2149.67,2171.76,2211.4,2250.59,2297.6,2338.64,2368.44,2414.82
593,220,338,1.23,2.03,-494.13,-484.08,-464.63,-454.47,-438.52,-420.38,-401.15,-380.93,-360.17,-341.05,-324,-309.14,-286.63,-263.8,-244.46,-223.92,-201.62,-182.17,-158.46,-131.14,-105.14,-82.52,-61.87,-34.66,-10.84,18.66,48.16,77.77,110.66,136.67,176.55,207.04,244.63,278.18,317.18,354.44,386.13,426.01,471.79,511.02,547.41,586.09,634.72,684.76,727.92,775.34,821.68,866.36,910.29,964.2,1005.94,1053.87,1094.28,1136.6,1173.36,1209.33,1256.62,1306.94,1342.27,1371.66,1420.71,1455.72,1493.43,1534.59,1572.72,1601.38,1644.81,1711.71,1727.75,1756.62,1825.48,1851.32,1898.31,1934.38,1962.18,1986.97,2013.24,2098.78,2113.77,2155.67,2218.91,2225.48,2303.92,2319.97,2338.72,2365.41,2366.95,2619.49,2758.58,2845.6,2866.53,2878.02,2927.28,2982.71,3038.14,3188.4,3371.63,3554.85,3738.08,4025
609,138,236,1.09,1.96,-501.63,-481.1,-453.93,-428.17,-402.41,-376.65,-343.24,-307.01,-275.01,-241.19,-202.97,-166.32,-129.09,-87.62,-42.75,2.54,47.83,92.71,138.58,185.7,232.57,279.27,321.73,364.61,408.91,449.96,488.6,529.23,568.71,606.52,643.33,678.98,713.39,747.21,778.62,812.03,845.02,876.43,908.84,941.83,971.08,998.69,1025.83,1049.76,1072.74,1096.65,1121.54,1148.31,1172.24,1193.32,1218.16,1242.11,1266.04,1291.84,1312.93,1337.79,1358.87,1384.65,1407.69,1431.53,1456.49,1482.26,1507.15,1533.02,1556.94,1580.87,1600.05,1626.79,1646.84,1665.08,1689.01,1709.18,1735.95,1756.98,1776.1,1798.09,1819.11,1845.97,1869.84,1889.87,1910.07,1929.16,1948.33,1978.95,2000.91,2017.3,2043.1,2071.72,2088.02,2105.24,2133,2154.06,2192.26,2231.56,2272.67,2282.22,2413.44,2431.56,2449.77,2541.61
